Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=BASKET621996944
,MNA.Q.Y.I8.W2.S1.S1.B.B1GQ._Z._Z._Z.IX.D.N
,"Gross domestic product at market prices - Euro area 19 (fixed composition) - Domestic (home or reference area), Total economy, Index, Deflator (index), Non transformed data, Calendar and seasonally adjusted data"
Collection:,Average of observations through period (A)
Period\Unit:,
2021Q4,110.62
2021Q3,109.67
2021Q2,108.39
2021Q1,108.12
2020Q4,107.35
2020Q3,106.70
2020Q2,107.77
2020Q1,106.54
2019Q4,106.12
2019Q3,105.52
2019Q2,105.07
2019Q1,104.65
2018Q4,104.24
2018Q3,103.74
2018Q2,103.34
2018Q1,102.97
2017Q4,102.55
2017Q3,102.17
2017Q2,101.93
2017Q1,101.48
2016Q4,101.18
2016Q3,101.03
2016Q2,100.81
2016Q1,100.63
2015Q4,100.41
2015Q3,100.22
2015Q2,99.86
2015Q1,99.50
2014Q4,98.98
2014Q3,98.63
2014Q2,98.46
2014Q1,98.36
2013Q4,97.89
2013Q3,97.79
2013Q2,97.67
2013Q1,97.40
2012Q4,96.96
2012Q3,96.65
2012Q2,96.30
2012Q1,96.07
2011Q4,95.73
2011Q3,95.40
2011Q2,95.08
2011Q1,94.84
2010Q4,94.66
2010Q3,94.44
2010Q2,94.01
2010Q1,93.92
2009Q4,93.78
2009Q3,93.57
2009Q2,93.53
2009Q1,93.68
2008Q4,93.29
2008Q3,92.94
2008Q2,92.75
2008Q1,92.17
2007Q4,91.81
2007Q3,91.06
2007Q2,90.58
2007Q1,90.17
2006Q4,89.44
2006Q3,88.93
2006Q2,88.47
2006Q1,87.95
2005Q4,87.70
2005Q3,87.04
2005Q2,86.70
2005Q1,86.30
2004Q4,85.94
2004Q3,85.49
2004Q2,85.21
2004Q1,84.70
2003Q4,84.23
2003Q3,84.09
2003Q2,83.50
2003Q1,83.02
2002Q4,82.48
2002Q3,82.17
2002Q2,81.55
2002Q1,81.34
2001Q4,80.78
2001Q3,80.17
2001Q2,79.59
2001Q1,79.16
2000Q4,78.55
2000Q3,78.16
2000Q2,77.78
2000Q1,77.51
1999Q4,77.23
1999Q3,76.98
1999Q2,76.83
1999Q1,76.68
1998Q4,76.57
1998Q3,75.81
1998Q2,75.45
1998Q1,75.05
1997Q4,75.17
1997Q3,74.87
1997Q2,74.74
1997Q1,74.91
1996Q4,75.18
1996Q3,75.39
1996Q2,75.06
1996Q1,74.67
1995Q4,74.16
1995Q3,73.69
1995Q2,72.70
1995Q1,72.18
